point,lat,lon,tipo
AKVAB,-23.480733333,-52.035841667,ICAO
AKVEG,-4.218588889,-70.002633333,ICAO
AKVET,-22.488611111,-35.755555556,ICAO
AKVEV,-8.211480556,-34.878088889,ICAO
AKVIB,-23.209877778,-41.043427778,ICAO
AKVIT,-3.645872222,-60.526752778,ICAO
AKVIX,-6.503269444,-38.661902778,ICAO
AKVOP,-29.121411111,-50.990336111,ICAO
AKVOR,-11.106863889,-68.580158333,ICAO
AKVOT,-8.281527778,-34.832047222,ICAO
AKVUM,-4.778333333,-38.906833333,ICAO
ALBAG,-29.082166667,-52.98,ICAO
ALBIM,-27.129819444,-48.558694444,ICAO
ALBIP,-2.936408333,-61.057930556,ICAO
ALBOK,-23.177705556,-46.952308333,ICAO
ALBOL,-28.823575,-51.211522222,ICAO
ALBOM,-12.521,-62.697,ICAO
ALBUM,-18.215174147,-46.174980371,ICAO
ALCIR,-29.991188889,-51.392769444,ICAO
ALDAD,-29.9129,-50.767008333,ICAO
ALDAG,-14.298722222,-40.124638889,ICAO
ALDEG,-23.072158333,-47.055266667,TERMINAL
ALDEK,-8.887166667,-63.891,ICAO
ALDIB,-23.524436111,-51.378697222,ICAO
ALDIG,-5.406333333,-49.183666667,ICAO
ALDOS,-26.23066667,-54.68866667,ICAO
ALDUR,-19.419088889,-42.456727778,ICAO
ALEMA,-25.411938889,-48.470444444,ICAO
ALETA,-15.427983333,-44.210327778,ICAO
ALGAN,-20.934563889,-54.902269444,ICAO
ALGEL,-25.87,-55.1705,ICAO
ALGOX,-19.671019444,-44.793105556,ICAO
ALGUB,-9.098736111,-62.935455556,ICAO
ALGUD,-25.725572222,-49.112766667,ICAO
ALMOS,-22.718583333,-43.480533333,ICAO
ALONG,-19.011408333,-43.626544444,ICAO
ALR01,-2.375625,-44.407902778,TERMINAL
ALR02,-2.368613889,-44.385519444,TERMINAL
AM004,-22.830633333,-47.136758333,TERMINAL
AM006,-22.793761111,-47.173558333,TERMINAL
AM007,-22.719130556,-47.215916667,TERMINAL
AM008,-22.680119444,-47.136066667,TERMINAL
AM009,-22.769005556,-47.085566667,TERMINAL
AMALO,-12.46716667,-62.80533333,ICAO
AMANT,-23.396152778,-50.942094444,ICAO
AMBET,-7.7595,-34.44566667,ICAO
AMUEG,-21.736194444,-47.382475,ICAO
AMVET,-22.166719444,-47.316569444,ICAO
AMVIN,-15.900894444,-48.023519444,ICAO
AMVIS,-23.107719444,-48.196755556,ICAO
AMVOL,-6.457166667,-63.97,ICAO
AMVOM,-30.502802778,-51.607583333,ICAO
AMVUL,-23.399588889,-46.362233333,ICAO
AMZAK,-15.25416667,-56.66416667,ICAO
AN001,-16.335333333,-49.180833333,TERMINAL
AN002,-16.433194444,-49.137333333,TERMINAL
AN004,-16.368333333,-49.082666667,TERMINAL
AN006,-16.303333333,-49.028,TERMINAL
AN007,-16.118277778,-48.746444444,TERMINAL
AN008,-16.020444444,-48.790055556,TERMINAL
AN009,-15.99925,-48.897888889,TERMINAL
AN011,-16.085416667,-48.844611111,TERMINAL
