point,lat,lon,tipo
ESOTO,-8.296269444,-71.562844444,ICAO
ESPEB,-22.021127778,-41.083083333,ICAO
ESPES,-18.314595222,-48.141986306,ICAO
ESPET,-7.266,-35.892666667,ICAO
ESTEP,-4.042166667,-43.41116667,ICAO
ESUBU,-25.584575,-54.319183333,ICAO
ESUKA,-27.039338889,-53.777744444,ICAO
ESUMU,-16.309757528,-53.80048567,ICAO
ESUNA,1.450527778,-56.257369444,ICAO
ESUNI,-23.854166667,-46.452833333,ICAO
ESUSA,-8.199119444,-35.089452778,ICAO
ESUVO,-7.643305556,-70.487525,ICAO
ETANO,-4.959061111,-36.922541667,ICAO
ETANU,-10.175722222,-46.361388889,ICAO
ETAXA,-4.178702778,-59.328277778,ICAO
ETAXO,-15.85666667,-10.0,ICAO
ETEGI,-20.167527778,-54.775127778,ICAO
ETEGO,-21.039388889,-48.354752778,ICAO
ETELO,-4.894688889,-38.768441667,ICAO
ETELU,-22.194252778,-40.033486111,ICAO
ETEPU,-0.0037,-67.415513889,ICAO
ETETI,0.861483333,-57.159063889,ICAO
ETETO,-11.773316667,-59.933472222,ICAO
ETEVA,-22.567777778,-39.985833333,ICAO
ETIBI,-8.179122222,-34.781972222,ICAO
ETIKO,-23.384102778,-46.284994444,ICAO
ETIMO,-5.044833333,-22.47533333,ICAO
ETINA,-5.893097222,-35.422258333,ICAO
ETIRA,-5.136675,-42.816294444,ICAO
ETIRU,-10.249008403,-48.433327338,ICAO
EVAIR,-3.178411111,-60.116494444,ICAO
EVELP,-22.557124028,-51.604036444,ICAO
EVKOX,-23.066298889,-43.150208,ICAO
EVLAS,-21.643127778,-40.545672222,ICAO
EVLOG,-22.817722222,-43.448527778,ICAO
EVLOL,-19.080025,-57.805766667,ICAO
EVLUK,-22.379,-40.582666667,ICAO
EVMAT,-24.448619444,-49.724933333,ICAO
EVMET,-20.2647,-43.555011111,ICAO
EVMIM,-22.815788889,-47.793872222,ICAO
EVMIS,-8.991238889,-63.886952778,ICAO
EVMOL,-22.854269444,-47.040533333,ICAO
EVMON,-13.166513889,-40.769752778,ICAO
EVMUG,-12.529897222,-55.700188889,ICAO
EVMUK,-25.440308333,-49.5632,ICAO
EVNAV,-15.852833333,-48.602333333,ICAO
EVNEB,-23.462188889,-46.573402778,ICAO
EVNES,-22.636180556,-50.090444444,ICAO
EVNEV,-8.197027778,-35.084027778,ICAO
EVNIN,-21.521588889,-41.3493,ICAO
EVNIP,-13.628258333,-45.394133333,ICAO
EVNIT,-30.52315,-54.970002778,ICAO
EVNON,-15.599166667,-56.145333333,ICAO
EVNOP,-5.846166667,-35.296833333,ICAO
EVNUG,-21.155833333,-46.8475,ICAO
EVPAD,-19.95783333,-42.97866667,ICAO
EVPEX,-9.717687278,-67.960408861,ICAO
EVPIB,-26.600761111,-46.986325,ICAO
EVPIV,-16.325463889,-42.8322,ICAO
EVPOM,-21.494241667,-46.005866667,ICAO
EVPUK,-15.192616667,-47.080077778,ICAO
EVPUL,-11.799248306,-55.686312278,ICAO
EVRAD,-22.609752778,-43.03205,ICAO
EVRAL,-23.217047222,-47.252563889,ICAO
EVRIR,-23.036,-42.813333333,ICAO
EVRIS,-3.365,-52.682666667,ICAO
EVRIV,-19.345283333,-49.86995,ICAO
EVSAK,-25.543838889,-54.324388889,ICAO
EVSEL,-20.049708333,-44.369258333,ICAO
EVSIB,-18.7222,-41.470291667,ICAO
EVSOB,-22.998511111,-43.089605556,ICAO
EVSUP,-25.29075,-50.577325,ICAO
EVTAL,-14.402283333,-46.460919444,ICAO
EVTEK,-19.463,-42.4795,ICAO
EVTIK,-28.222727778,-52.267027778,ICAO
EVTOB,-21.504154516,-46.795072505,ICAO
EVTOD,-1.437013889,-48.543263889,ICAO
EVTOR,-18.630488889,-43.327461111,ICAO
EVTUS,-23.109912194,-41.311106806,ICAO
FAROL,-20.744278913,-44.969935961,ICAO
FATAL,-19.61116667,-57.34166667,ICAO
FAVOR,-4.073,-55.365,ICAO
FEITO,-25.6585,-45.8905,ICAO
FEMUR,-3.634,-34.03616667,ICAO
FFZ01,-3.788966667,-38.485311111,TERMINAL
FHAW,-7.97,-14.39333333,ICAO
FI001,-25.535,-54.5655,TERMINAL
FI002,-25.301166667,-54.356666667,TERMINAL
FI003,-25.656666667,-54.409,TERMINAL
FI004,-25.855833333,-54.633,TERMINAL
FI005,-25.589397222,-54.495569444,DESIGNED
FI006,-25.796333333,-54.729833333,TERMINAL
FI007,-25.585838889,-54.500130556,TERMINAL
FI008,-25.555100102,-54.539717482,DESIGNED
FI010,-25.561769444,-54.531133333,TERMINAL
FI011,-25.601755556,-54.479708333,TERMINAL
FI012,-25.561766667,-54.531127778,TERMINAL
FI016,-25.560855556,-54.532336111,TERMINAL
FI369,-25.656833333,-54.409,TERMINAL
FI376,-25.692894444,-54.325869444,TERMINAL
FI386,-25.711166667,-54.339,TERMINAL
FIAMA,-21.953169778,-48.181604972,ICAO
FIG07,-29.941763889,-51.157766667,TERMINAL
FIG08,-29.981897222,-51.3605,TERMINAL
FIG11,-29.989319444,-51.427580556,BRG_DIST
FIG12,-29.989325,-51.427352778,BRG_DIST
FIGOS,-21.454166667,-53.475833333,ICAO
FILHO,-10.19516667,-66.97733333,ICAO
FL001,-27.657097222,-48.55045,TERMINAL
FL002,-27.675813889,-48.529630556,TERMINAL
FL003,-27.645044444,-48.587172222,TERMINAL
FL004,-27.628689861,-48.620341861,TERMINAL
FL005,-27.645922222,-48.588183333,TERMINAL
FL015,-27.696236111,-48.492125,TERMINAL
FL049,-27.722977972,-48.42561,TERMINAL
FL813,-27.759225,-48.595458333,TERMINAL
FL907,-27.695102778,-48.496663889,DESIGNED
FL911,-27.232255556,-48.434241667,TERMINAL
FL912,-26.898305556,-48.090477778,TERMINAL
FL913,-27.795219444,-48.781877778,TERMINAL
FL914,-27.726827778,-48.970180556,TERMINAL
FL916,-27.611736111,-49.884216667,TERMINAL
FL921,-27.363627778,-50.01435,TERMINAL
FL922,-27.044844444,-48.530483333,TERMINAL
FL923,-27.049166667,-48.576894444,TERMINAL
FL924,-27.341722222,-48.216936111,TERMINAL
FL926,-26.888866667,-48.042527778,TERMINAL
FL927,-26.927347222,-48.370180556,TERMINAL
FL928,-26.797311111,-48.320744444,TERMINAL
FL931,-28.115163889,-49.269130556,TERMINAL
FL932,-27.972886111,-49.110736111,TERMINAL
FL933,-27.825563889,-48.947380556,TERMINAL
FL934,-27.500025,-49.601277778,TERMINAL
FL936,-27.513030556,-49.254136111,TERMINAL
FL937,-27.123961111,-48.898858333,TERMINAL
FL938,-27.004452778,-48.925627778,TERMINAL
FL939,-27.215638889,-48.555083333,TERMINAL
FL941,-27.030233333,-48.349294444,TERMINAL
FL942,-27.491611111,-48.322769444,TERMINAL
FL943,-27.455513889,-47.978702778,TERMINAL
FL946,-27.608116667,-49.182636111,TERMINAL
FL947,-27.573713889,-49.439205556,TERMINAL
FL953,-27.175027778,-47.561030556,TERMINAL
FL958,-27.564905556,-48.737363889,TERMINAL
FL959,-27.565508333,-48.736236111,TERMINAL
FL964,-27.631638889,-48.612333333,TERMINAL
FL966,-27.776005556,-48.345327778,TERMINAL
FL967,-27.776536111,-48.34435,TERMINAL
FL976,-27.136755556,-47.713586111,TERMINAL
FL978,-27.107091667,-47.753772222,TERMINAL
FL981,-27.754066667,-48.869041667,TERMINAL
FL988,-27.719666667,-48.451,TERMINAL
FL989,-27.763,-48.370666667,TERMINAL
FL994,-27.715883333,-48.675752778,TERMINAL
FL996,-27.838983333,-49.145002778,TERMINAL
FL997,-27.361355556,-47.830977778,TERMINAL
FLN03,-27.566225,-48.736716667,TERMINAL
FLN04,-27.565622222,-48.737841667,TERMINAL
FLN07,-27.631363889,-48.615577778,TERMINAL
FLN08,-27.6458,-48.588127778,TERMINAL
FLZ01,-3.790208333,-38.480677778,TERMINAL
FLZ02,-3.763633333,-38.579069444,BRG_DIST
FLZ03,-3.763847222,-38.579125,BRG_DIST
FLZ04,-3.751755556,-38.624230556,BRG_DIST
FLZ05,-3.730161111,-38.704772222,BRG_DIST
FLZ08,-3.934963889,-38.665166667,BRG_DIST
FLZ09,-3.720447222,-38.740988889,BRG_DIST
FLZ11,-3.753416667,-38.746877778,BRG_DIST
FLZ12,-3.838502778,-38.736591667,BRG_DIST
FN001,-3.740883333,-32.589941667,TERMINAL
FN002,-3.834672222,-32.680711111,TERMINAL
FN003,-3.941272222,-32.605233333,TERMINAL
FN004,-3.841077778,-32.597586111,TERMINAL
FN006,-3.847475,-32.514461111,TERMINAL
FN007,-3.858575,-32.369741667,TERMINAL
FN011,-3.767783333,-32.239113889,TERMINAL
FN012,-3.874183333,-32.165369444,TERMINAL
FN013,-3.967875,-32.257894444,TERMINAL
FN014,-3.867827778,-32.248502778,TERMINAL
FN016,-4.422,-32.4905,TERMINAL
FN017,-3.861466667,-32.331633333,TERMINAL
FN361,-3.7415,-32.660916667,TERMINAL
FN362,-3.830611111,-32.733694444,TERMINAL
FN363,-3.929805556,-32.675222222,TERMINAL
FN364,-3.838277778,-32.633944444,TERMINAL
FN366,-3.844694444,-32.550833333,TERMINAL
FN367,-3.851083333,-32.467694444,TERMINAL
FN368,-3.870833333,-32.210055556,TERMINAL
FN369,-3.967611111,-32.183111111,TERMINAL
FN371,-3.878472222,-32.110305556,TERMINAL
FN372,-3.779305556,-32.168777778,TERMINAL
FN373,-3.864472222,-32.293194444,TERMINAL
FN374,-3.858083333,-32.376333333,TERMINAL
FNR11,-3.847805556,-32.462094444,BRG_DIST
FOZ01,-25.557586111,-54.535941667,TERMINAL
FOZ02,-25.474186111,-54.643202778,TERMINAL
FRIAS,-23.302302778,-45.547569444,ICAO
FROTI,-10.277,-38.38766667,ICAO
FS002,-22.0895,-40.976741667,TERMINAL
FS003,-22.138391667,-40.964644444,TERMINAL
FS004,-22.091688889,-40.922758333,TERMINAL
FS005,-22.049472222,-41.037958333,TERMINAL
FS006,-21.999991667,-41.115913889,TERMINAL
FS007,-21.971475,-41.160177778,TERMINAL
FS009,-21.930191667,-41.129608333,TERMINAL
FS011,-22.01275,-41.190769444,TERMINAL
FS012,-21.942944444,-41.204427778,TERMINAL
FS013,-22.01105,-41.098833333,TERMINAL
FS014,-21.991294444,-41.009661111,TERMINAL
FS016,-22.041266667,-40.998694444,TERMINAL
FS017,-22.069666667,-41.012458333,TERMINAL
FS018,-22.085836111,-41.031894444,TERMINAL
FS019,-22.094138889,-41.054416667,TERMINAL
FS021,-22.029719444,-41.068705556,TERMINAL
FS022,-22.058377778,-41.023511111,TERMINAL
FS023,-22.030633333,-41.068355556,TERMINAL
FS024,-22.000211111,-41.004233333,TERMINAL
FTP33,-23.237938889,-45.854761111,TERMINAL
FUNDA,-3.523936111,-47.430975,ICAO
FZ016,-3.632272222,-38.678102778,TERMINAL
FZ017,-3.707141667,-38.784927778,TERMINAL
FZ018,-3.82615,-38.730811111,TERMINAL
FZ019,-4.282530556,-38.085355556,TERMINAL
FZ021,-3.681211111,-38.473983333,TERMINAL
FZ022,-3.347572222,-38.076525,TERMINAL
FZ023,-3.785502778,-38.157430556,TERMINAL
FZ024,-4.273252778,-38.982436111,TERMINAL
FZ026,-3.9966,-38.853205556,TERMINAL
FZ027,-3.823761111,-38.730319444,TERMINAL
FZ028,-3.398452778,-38.732347222,TERMINAL
FZ036,-4.073666667,-38.220388889,TERMINAL
FZ037,-3.875380556,-38.537838889,TERMINAL
FZ038,-3.595463889,-38.865111111,TERMINAL
FZ039,-3.575175,-38.187011111,TERMINAL
FZ047,-3.969291667,-38.491277778,TERMINAL
FZ048,-3.95125,-38.414547222,TERMINAL
FZ049,-4.024041667,-38.772305556,TERMINAL
FZ051,-4.052919444,-38.921902778,TERMINAL
FZ052,-3.931938889,-38.704211111,TERMINAL
FZ058,-4.108338889,-38.890944444,TERMINAL
FZ059,-3.870672222,-38.547202778,TERMINAL
FZ133,-3.65295,-38.60435,TERMINAL
FZ313,-3.723297222,-38.347363889,TERMINAL
FZ379,-3.93116666,-38.31933332,TERMINAL
FZ383,-3.831,-38.32816666,TERMINAL
FZ384,-3.80516666,-38.42483332,TERMINAL
GAITA,-22.791936111,-47.871305556,ICAO
GAMOT,-30.9445,-55.493666667,ICAO
GARUP,-18.8625,-37.67283333,ICAO
GATOT,1.788722222,-55.739275,ICAO
GATUK,-13.521638889,-55.245163889,ICAO
GATUL,-11.154,-36.998452778,ICAO
GATUV,-25.520794444,-48.885633333,ICAO
GAUZE,-15.856153472,-47.812888694,ICAO
GAVAB,-19.967244444,-43.134930556,ICAO
GAVAK,-9.883902778,-37.143291667,ICAO
GAVAP,-3.705338889,-60.333716667,ICAO
GAVEB,-21.137666667,-54.649333333,ICAO
GAVIL,-7.978702778,-34.946916667,ICAO
GAVIT,-2.653630556,-66.667288889,ICAO
GAVOM,-25.165916667,-51.593255556,ICAO
GAVUG,-22.849438889,-43.441975,ICAO
GAVUS,0.278252778,-67.134133333,ICAO
GAXAD,-23.836891667,-46.204741667,ICAO
GAXAM,-16.81533333,-39.6585,ICAO
GAXAS,-25.40283333,-54.51133333,ICAO
GAXES,-3.482441667,-65.330680556,ICAO
GAXID,-3.182333333,-60.260666667,ICAO
GAXIM,-15.743766667,-56.328830556,ICAO
GAXIN,-28.255730556,-50.462955556,ICAO
GAXON,-16.0775,-47.964833333,ICAO
GAXUM,-31.485636111,-51.471197222,ICAO
GAXUT,-22.232375,-53.849152778,ICAO
GAZAR,-20.559513889,-43.866444444,ICAO
GEBEP,-17.489388889,-47.412566667,ICAO
GEBIG,-3.988827778,-66.893869444,ICAO
GEBIR,-22.135055152,-41.847494172,ICAO
GEBOK,-0.907,-48.9455,ICAO
GEBOX,-23.008430556,-41.213330556,ICAO
GEBUN,-26.57783333,-53.77933333,ICAO
GEDAD,-19.756644444,-44.447958333,ICAO
GEDAR,-19.189938889,-44.003163889,ICAO
GEDAV,-4.864941667,-38.80385,ICAO
GEDEM,-22.993527778,-54.201161111,ICAO
GEDES,-10.257533333,-48.408775,ICAO
GEDEX,-13.141875,-38.207888889,ICAO
GEDIM,-26.729584943,-49.752866667,ICAO
GEDIR,-5.937,-46.5475,ICAO
GEDIS,-10.996058333,-37.246172222,ICAO
GEDIT,-3.6885,-61.98133333,ICAO
GEDOL,-20.215097222,-40.693263889,ICAO
GEDOR,-6.287880556,-35.241344444,ICAO
GEDOV,-1.905194444,-66.540516667,ICAO
GEGAV,-7.859977778,-63.328094444,ICAO
GEGIM,-23.576008333,-51.942688889,ICAO
GEGOB,-24.170208333,-50.386444444,ICAO
GEGOL,-5.400316716,-48.045530342,ICAO
GEGUR,-21.7337,-47.345486111,ICAO
GEKAN,-12.784372222,-60.13045,ICAO
GEKEM,-21.733802778,-51.187822222,ICAO
GEKEV,-14.099038889,-40.393477778,ICAO
GEKID,-2.655611111,-44.290675,ICAO
GEKON,-15.251575,-48.060105556,ICAO
GEKOP,-9.774666667,-56.081072222,ICAO
GEKOT,-19.873197222,-51.860575,ICAO
GEKUB,-3.133563889,-57.556202778,ICAO
GELAG,-3.200688889,-59.791113889,ICAO
GELAM,-19.403888889,-36.006388889,ICAO
GELEB,-11.859295306,-55.456317722,ICAO
GELET,-22.108519444,-39.904475,ICAO
GELIR,-29.441388889,-25.080833333,ICAO
GELOV,-22.674361111,-55.035861111,ICAO
GELRU,-10.119417758,-41.360200806,ICAO
GELTU,-12.600525,-60.081247222,ICAO
GELUD,-7.939394444,-34.503844444,ICAO
GELUT,-22.9485,-43.509666667,ICAO
GELVA,-15.871902778,-48.021922222,ICAO
GELVI,-23.3951,-51.283363889,TERMINAL
GELVU,-4.182502778,-54.494425,ICAO
GEMAT,-14.213361111,-55.652416667,ICAO
GEMEG,-9.171855556,-61.537697222,ICAO
GEMEM,-23.26361111,-42.93777778,ICAO
GEMES,-23.166225,-47.048188889,ICAO
GEMGI,-29.988333333,-51.470833333,ICAO
GEMIX,-10.526747222,-44.153230556,ICAO
GEMLU,-22.756822222,-42.034519444,ICAO
GEMOD,-25.562830556,-49.970291667,ICAO
GEMOL,4.356333333,-59.687166667,ICAO
GEMSO,-23.101513889,-45.999958333,ICAO
GEMUB,-25.493713889,-54.347869444,ICAO
GENAP,-15.524033333,-57.749927778,ICAO
GENAT,2.509697222,-55.341255556,ICAO
GENBI,-23.040371605,-47.462391636,ICAO
GENBU,-14.610447222,-46.760847222,ICAO
GENED,-6.996111111,-9.996944444,ICAO
GENEG,-26.904469444,-53.100186111,ICAO
GENGO,-14.011825,-55.854519444,ICAO
GENKO,-23.262636139,-45.720094111,ICAO
GENRA,-21.971526611,-51.81940575,ICAO
GENVO,-3.619044444,-44.524552778,ICAO
GEPMA,-27.207169444,-50.768316667,ICAO
GEPMI,-29.675086111,-51.476227778,ICAO
GEPMO,-16.850555556,-47.127222222,ICAO
GEPNA,-20.062647222,-43.908102778,ICAO
GEPSI,-2.6855,-60.308113889,ICAO
GEPVO,-26.028,-48.804333333,ICAO
GERGU,-6.98275,-44.192302778,ICAO
GERKA,-22.551303667,-47.076787222,ICAO
GERKO,-2.636088889,-44.274930556,ICAO
GERSO,-10.830994444,-36.652541667,ICAO
GERSU,-23.511388889,-46.736138889,ICAO
GERTI,-6.294775,-39.271805556,ICAO
GERTU,-22.430183333,-47.562452778,ICAO
GESBO,-25.007897222,-46.674730556,ICAO
GESDA,-26.842413889,-48.786125,ICAO
GESLA,-21.841416667,-40.037158333,ICAO
GESLI,-25.45565,-48.721847222,ICAO
GESNU,-23.237568429,-49.738234897,ICAO
GETGO,-24.097961111,-51.278155556,ICAO
GETMA,-14.39662433,-58.221426599,ICAO
GETMI,-22.868830556,-42.150805556,ICAO
GETPO,-16.441944444,-39.082777778,ICAO
GETVU,-22.593099833,-43.890071889,ICAO
GEVGA,-22.162663889,-46.089858333,ICAO
GEVGO,-0.576927778,-66.833941667,ICAO
GEVMI,-16.853,-44.738,ICAO
GEVMO,-13.044138889,-38.518361111,ICAO
GEVMU,-9.836466389,-67.84312275,ICAO
GEVPU,-25.441427778,-48.871816667,ICAO
GI002,-14.169922222,-42.831247222,TERMINAL
GI003,-14.135002778,-42.909194444,TERMINAL
GI004,-14.093063889,-43.0027,TERMINAL
GI006,-14.034902778,-42.900813889,TERMINAL
GI007,-14.206413889,-42.981569444,TERMINAL
GI008,-14.191580556,-42.782913889,OTHER:ADHP
GIANT,-11.59516667,-34.36383333,ICAO
GIBKO,-17.095920806,-50.51159075,ICAO
GIBMU,-21.916487417,-47.341438389,ICAO
GIBTI,-20.46083333,-42.59444444,ICAO
GIBTO,-4.716444444,-37.081902778,ICAO
GIDBU,-17.628194444,-50.587422222,ICAO
GIDGI,-23.306478917,-47.417354167,ICAO
GIDMI,-5.831847222,-40.616272222,ICAO
GIDOD,-19.62366667,-40.0325,ICAO
GIDRA,-10.789158333,-41.849036111,ICAO
GIDVO,-18.440333333,-49.218833333,ICAO
GIGDU,-21.759783333,-40.5475,ICAO
GIGNO,-29.498930556,-50.470177778,ICAO
GIGNU,-8.5277,-63.911936111,ICAO
GIGPA,-29.218591667,-51.091094444,ICAO
GIGSO,-22.559527778,-43.563547222,ICAO
GIKDA,-29.66335,-53.896391667,ICAO
GIKLU,-23.426355556,-49.440291667,ICAO
GIKPO,-21.7305,-41.249833333,ICAO
GIKRA,-1.7195,-61.14,ICAO
GIKTO,-20.85695,-41.014375,ICAO
GIKVI,-4.557002778,-58.750344444,ICAO
GILDO,-13.450433333,-39.323786111,ICAO
GILMU,-6.356872222,-39.091022222,ICAO
GILNO,-24.890888889,-49.937241667,ICAO
GILRU,-17.972025,-37.878447222,ICAO
GILVU,-23.042388889,-47.841025,ICAO
GIMBA,-3.625852778,-58.878955556,ICAO
GIMGA,-7.843486111,-34.612719444,ICAO
GIMPI,-22.747140944,-43.819904111,ICAO
GIMPO,-18.998358333,-44.425652778,ICAO
GIMSO,-25.112880556,-49.392219444,ICAO
GJM01,-10.777613889,-65.284352778,BRG_DIST
GJM02,-10.793947222,-65.280627778,BRG_DIST
GL006,-22.220897222,-42.849675,TERMINAL
GL008,-22.840577806,-43.407176889,TERMINAL
GL009,-22.815561111,-43.457519444,TERMINAL
GL011,-22.810713889,-43.289958333,TERMINAL
GL012,-22.794930556,-43.290122222,TERMINAL
GL013,-22.766441667,-43.333116667,TERMINAL
GL014,-22.26235,-43.023725,TERMINAL
GL016,-22.314311111,-43.243172222,TERMINAL
GL017,-22.448855556,-43.517241667,TERMINAL
GL018,-22.871105556,-43.097255556,TERMINAL
GL019,-22.863116667,-43.187077778,TERMINAL
GL020,-22.866316667,-43.15115,TERMINAL
GL021,-22.460127778,-43.750579444,TERMINAL
GL022,-22.754091667,-43.351763889,TERMINAL
GL023,-22.792702778,-43.293497222,TERMINAL
GL025,-22.848547222,-43.209111111,TERMINAL
GL027,-22.796541667,-43.116913889,TERMINAL
GL028,-22.803394444,-43.27735,TERMINAL
GL032,-22.708294444,-43.295311111,TERMINAL
GL033,-22.646099083,-43.356085722,TERMINAL
GL034,-22.528622222,-42.622497222,TERMINAL
GL036,-22.679169444,-42.778863889,TERMINAL
GL039,-22.811125444,-43.717948306,TERMINAL
GL040,-22.783722222,-43.184480556,TERMINAL
GL041,-22.912209444,-43.689745361,TERMINAL
GL042,-22.843158333,-43.217266667,TERMINAL
GL043,-22.843113889,-43.186808333,TERMINAL
GL044,-22.823419444,-43.202069444,TERMINAL
GL046,-22.749119444,-43.277416667,TERMINAL
GL047,-22.666706694,-43.455442556,TERMINAL
GL048,-22.534895583,-43.391784417,TERMINAL
GL052,-22.826522222,-43.161897222,TERMINAL
GL053,-22.838233333,-43.179480556,TERMINAL
GL054,-22.670216667,-43.008236111,TERMINAL
GL056,-22.575972222,-43.045344444,TERMINAL
GL057,-22.520991667,-43.066969444,TERMINAL
GL071,-22.789852778,-43.626658333,TERMINAL
GL079,-22.825388889,-42.971402778,TERMINAL
GL084,-22.801055556,-43.456291667,TERMINAL
GL086,-22.6267,-43.079494444,TERMINAL
GL087,-22.601388889,-42.983572222,TERMINAL
GL091,-22.784955556,-43.305072222,TERMINAL
GL092,-22.784519444,-43.187602778,TERMINAL
GL167,-22.824,-43.342166667,TERMINAL
GL168,-22.931358333,-43.388894444,TERMINAL
GL369,-23.421944444,-43.946388889,TERMINAL
GL371,-23.218888889,-43.491388889,TERMINAL
GM001,-10.957036111,-65.243177778,TERMINAL
GM002,-11.038411111,-65.223288889,TERMINAL
GM003,-10.966394444,-65.158988889,TERMINAL
GM004,-10.615694444,-65.326483333,TERMINAL
GM006,-10.569408333,-65.255977778,TERMINAL
GM007,-10.534311111,-65.346319444,TERMINAL
GM008,-10.834194444,-65.08955,TERMINAL
GM009,-10.787994444,-64.824444444,TERMINAL
GM011,-11.109791667,-64.960025,TERMINAL
GM012,-10.664269444,-65.169277778,TERMINAL
GM013,-10.74265,-65.295522222,TERMINAL
GM014,-10.829433333,-65.274344444,TERMINAL
GN002,-7.201336111,-48.152419444,TERMINAL
GN003,-7.177144444,-48.072155556,TERMINAL
GN004,-7.152938889,-47.991902778,TERMINAL
GN006,-7.273333333,-48.043072222,TERMINAL
GN007,-7.080961111,-48.101247222,TERMINAL
GN008,-7.254366667,-48.328558333,TERMINAL
GN009,-7.278511111,-48.408847222,TERMINAL
GN011,-7.302644444,-48.489147222,TERMINAL
GN012,-7.182297222,-48.437841667,TERMINAL
GN013,-7.374730556,-48.379855556,TERMINAL
GN021,-7.241322222,-48.285202778,TERMINAL
GN023,-7.214394444,-48.195766667,TERMINAL
GNOME,-23.223327778,-47.981983333,ICAO
GNV01,-16.525919444,-49.381897222,TERMINAL
GNV02,-16.60895,-49.258538889,TERMINAL
GNV03,-16.711702778,-49.034844444,TERMINAL
GNV04,-16.659672222,-49.164311111,TERMINAL
GNV06,-16.830138889,-49.476241667,TERMINAL
GNV07,-16.597183333,-49.537777778,TERMINAL
GNV08,-16.560347222,-49.530127778,TERMINAL
GNV09,-16.35755,-49.360802778,TERMINAL
GNV11,-16.498891667,-48.996425,TERMINAL
GNV12,-16.833897222,-49.044608333,TERMINAL
GNV13,-16.887641667,-49.163552778,TERMINAL
GNV14,-16.891838889,-49.214330556,TERMINAL
GNV16,-16.790313889,-49.420380556,BRG_DIST
GNV17,-16.417197222,-49.329325,BRG_DIST
GNV18,-16.577333333,-49.462988889,BRG_DIST
GNV19,-16.606491667,-49.469027778,BRG_DIST
GNV21,-16.628094444,-49.230063889,BRG_DIST
GNV22,-16.640325,-49.212369444,TERMINAL
GO002,-16.499833333,-49.456,TERMINAL
GO004,-16.542,-49.381166667,TERMINAL
GO006,-16.584166667,-49.306166667,TERMINAL
GO008,-16.763833333,-48.985833333,TERMINAL
GO011,-16.721833333,-49.061,TERMINAL
GO012,-16.679666667,-49.136,ICAO
GO013,-16.662833333,-49.166,TERMINAL
GO016,-16.601,-49.276166667,TERMINAL
GO018,-16.470833333,-49.197666667,TERMINAL
GO019,-16.571458333,-49.299516667,TERMINAL
GO021,-16.6287,-49.433691667,TERMINAL
GO022,-16.559047222,-49.250869444,TERMINAL
GO023,-16.546094444,-49.132722222,TERMINAL
GO024,-16.503991667,-49.207686111,TERMINAL
GO026,-16.52615,-49.293355556,TERMINAL
GO027,-16.556047222,-49.239127778,TERMINAL
GO029,-16.634969444,-49.008741667,TERMINAL
GO031,-16.437038889,-49.057813889,TERMINAL
GO032,-16.808708333,-49.113258333,TERMINAL
GO033,-16.610391667,-49.259491667,TERMINAL
GO034,-16.455266667,-49.328725,TERMINAL
GO036,-16.614869444,-49.022080556,TERMINAL
GO037,-16.568213889,-49.334436111,TERMINAL
GO038,-16.656983333,-49.176466667,TERMINAL
GO039,-16.090913889,-49.103911111,TERMINAL
GO041,-16.363038889,-49.338013889,TERMINAL
GO042,-16.549563889,-49.161019444,TERMINAL
GO043,-16.991961111,-48.996352778,TERMINAL
GO044,-16.708036111,-49.292663889,TERMINAL
GO046,-16.796069444,-49.589652778,TERMINAL
GO047,-17.117938889,-48.817786111,TERMINAL
GO048,-16.732727778,-49.248716667,TERMINAL
GP001,-21.996375,-48.289113889,TERMINAL
GP002,-21.912747222,-48.288961111,TERMINAL
GP003,-21.9125,-48.414430556,TERMINAL
GP004,-21.823877778,-48.332466667,TERMINAL
GP006,-21.668416667,-48.453413889,TERMINAL
GP007,-21.667694444,-48.406897222,TERMINAL
GP008,-21.865694444,-48.403344444,TERMINAL
GP009,-21.866802778,-48.475005556,TERMINAL
GP011,-21.930013889,-48.550444444,TERMINAL
GP012,-21.701255556,-48.483916667,TERMINAL
GP013,-21.933608333,-48.478841667,TERMINAL
GP014,-21.957127778,-48.316961111,TERMINAL
GP016,-21.873505556,-48.316105556,TERMINAL
GP017,-21.872252778,-48.450672222,TERMINAL
GP018,-21.74665,-48.449272222,TERMINAL
GP019,-21.621044444,-48.447875,TERMINAL
GP021,-21.682886111,-48.564830556,TERMINAL
GP022,-21.641144444,-48.485861111,TERMINAL
GP023,-21.586327778,-48.555055556,TERMINAL
GP024,-21.637794444,-48.490094444,TERMINAL
GP026,-21.558188889,-48.491475,TERMINAL
GP027,-21.635452778,-48.490136111,TERMINAL
GP028,-21.634247222,-48.407494444,TERMINAL
GP029,-21.871216667,-48.403244444,TERMINAL
GP031,-21.295472222,-48.524108333,TERMINAL
GP032,-21.404855556,-48.599030556,TERMINAL
GP033,-21.452025,-48.520516667,TERMINAL
GP034,-21.496819444,-48.600627778,TERMINAL
GP036,-21.554261111,-48.563963889,TERMINAL
GP037,-21.513091667,-48.490338889,TERMINAL
GP038,-21.593333333,-48.489022222,TERMINAL
GP039,-21.668941667,-48.487780556,TERMINAL
GP041,-21.797666667,-48.482702778,TERMINAL
GP042,-21.796461111,-48.404586111,TERMINAL
GP043,-21.798833333,-48.560819444,TERMINAL
