icao,name,longitude,latitude,elevation
SBMC,Minaçu Airport,-48.195301,-13.5491,1401
SBMD,Monte Dourado - Serra do Areão Airport,-52.6022,-0.889839,677
SBME,Macaé Benedito Lacerda Airport,-41.765999,-22.343,8
SBMG,Regional de Maringá - Sílvio Name Júnior Airport,-52.016187,-23.47606,1801
SBMK,Mário Ribeiro Airport,-43.818901,-16.706919,2191
SBML,Frank Miloye Milenkowichi–Marília State Airport,-49.926485,-22.196899,2134
SBMM,Petrobras P-20 Platform Helideck,-40.090599,-22.357201,106
SBMN,Ponta Pelada Airport / Manaus Air Base,-59.986301,-3.14604,267
SBMO,Zumbi dos Palmares International Airport,-35.791839,-9.512559,387
SBMP,Plataforma PPM-1 Helipad,-40.763889,-22.795833,200
SBMQ,Macapá - Alberto Alcolumbre International Airport,-51.072201,0.050664,56
SBMS,Dix-Sept Rosado Airport,-37.3643,-5.20192,76
SBMT,Campo de Marte Airport,-46.637798,-23.5091,2371
SBMY,Manicoré Airport,-61.278301,-5.81138,174
SBNA,Plataforma Namorado 2 PNA-2 Helipad,-40.413056,-22.373333,171
SBNF,Ministro Victor Konder International Airport,-48.650979,-26.879431,18
SBNM,Santo Ângelo Airport,-54.169623,-28.282503,1056
SBNT,Natal Air Force Base,-35.2477,-5.91142,171
SBOA,Fazenda Antas Airstrip,-35.252233,-6.974453,440
SBOD,Fazenda Santa Cruz Airport,-49.195556,-7.455833,702
SBOE,Fazenda Americana Airport,-52.095226,-12.587371,1181
SBOF,Fazenda Bandeirantes Airport,-52.534615,-19.318418,1752
SBOG,Fazenda Vereda Grande Airport,-40.817046,-14.784789,3051
SBOH,Fazenda São Sebastião Airport,-53.543618,-16.000866,2077
SBOI,Oiapoque Airport,-51.797056,3.85412,53
SBOK,Fazenda São Vicente Airport,-55.975493,-13.290168,1411
SBOL,Fazenda Santa Lúcia Airstrip,-52.001389,-18.920278,1923
SBON,Fazenda Renascer Airport,-47.452097,-7.615933,764
SBOO,Fazenda Ceita Corê Airport,-56.588897,-20.838737,1555
SBOP,Corinthians Arena Heliport,-46.47767,-23.54413,2644
SBOQ,Fazenda Irmãs Prata Airport,-52.833071,-18.622041,2808
SBOR,Fazenda Agro Tamareira Airport,-50.357632,-13.732032,814
SBOS,Fazenda Santo Augusto Airport,-58.1175,-13.152778,1594
SBOU,Fazenda São Jerônimo Airstrip,-55.786111,-10.270278,919
SBOV,Fazenda Tabatinga Airport,-54.926212,-14.158204,1489
SBOW,Fazenda Agropecuária Vale do Ouro Airport,-56.059897,-4.186313,217
SBOX,Fazenda Baia Morena Airport,-55.373709,-18.261098,548
SBOY,Fazenda São José Airport,-56.181159,-17.41704,394
SBOZ,Fazenda Arizona Airport,-57.278529,-16.180023,499
SBPA,Porto Alegre-Salgado Filho International Airport,-51.167482,-29.993984,11
SBPB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,-41.731998,-2.89375,23
SBPC,Poços de Caldas - Embaixador Walther Moreira Salles Airport,-46.569768,-21.842529,4138
SBPF,Lauro Kurtz Airport,-52.32777,-28.243976,2380
SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,-50.143822,-25.184476,2588
SBPJ,Brigadeiro Lysias Rodrigues Airport,-48.356998,-10.2915,774
SBPK,João Simões Lopes Neto International Airport,-52.327796,-31.717189,59
SBPL,Senador Nilo Coelho Airport,-40.569098,-9.362422,1263
SBPN,Porto Nacional Airport,-48.3997,-10.719402,870
SBPO,Juvenal Loureiro Cardoso Airport,-52.694463,-26.217184,2697
SBPP,Ponta Porã Airport,-55.702599,-22.549601,2156
SBPR,Carlos Prates Airport,-43.989179,-19.909629,3044
SBPS,Porto Seguro International Airport,-39.080584,-16.438426,169
SBPV,Governador Jorge Teixeira de Oliveira International Airport,-63.902338,-8.708491,295
SBQA,Fazenda Floresta Airport,-49.838244,-16.536119,2274
SBQB,Fazenda Pedrinhas II Airport,-45.076944,-13.261944,2533
SBQC,Fazenda Cantagalo Airstrip,-55.8551,-13.366514,1421
SBQE,Fazenda Tradição Airport,-45.057598,-7.804289,1424
SBQF,Ferigolo Heliport,-53.463611,-29.461667,381
SBQG,Fazenda Rio Azul Airport,-56.598333,-13.513056,1076
SBQH,CMTE Juliano Rambo Airstrip,-51.614688,-10.699027,728
SBQJ,Osvaldo de Carvalho Airport,-50.208429,-23.846436,2615
SBQK,Fazenda Mundial Airport,-51.442256,-6.539099,778
SBQL,Centro de Convenções Ponta da Praia Helipad,-46.294311,-23.984846,85
SBQM,Fazenda São Miguel Airstrip,-53.908334,-22.765333,1214
SBQN,Fazenda Nossa Senhora Aparecida II Airstrip,-57.378182,-15.575414,512
SBQO,Fazenda Paraíso Airstrip,-39.176111,-17.0275,59
SBQP,Fazenda Três Santos Airstrip,-44.315921,-7.752392,1526
SBQQ,Comandante Gravatá Helipad,-44.319444,-23.018611,33
SBQR,Fazenda Arena de Aço Airport,-44.97319,-16.80878,1617
SBQS,Santa Rosa Airstrip,-54.964051,-15.405795,2208
SBQT,Fazenda Campo Formoso Airstrip,-53.556395,-15.801978,1877
SBQU,Hungaro Helipark,-48.219863,-7.204121,659
SBQW,Paíto Motors Helipad,-47.37373,-22.355589,2041
SBQX,Fazenda São Carlos Airstrip,-57.936944,-13.578333,1841
SBQY,LDB - Itapevi Heliport,-46.93712,-23.530395,2730
SBQZ,Fazenda Mariane Heliport,-48.319211,-22.240253,1696
SBRB,Rio Branco-Plácido de Castro International Airport,-67.893984,-9.869031,633
SBRC,Petrobras P-52 Platform Helideck,-39.737222,-21.905,105
SBRD,Maestro Marinho Franco Airport,-54.724803,-16.584292,1467
SBRF,Recife/Guararapes - Gilberto Freyre International Airport,-34.922961,-8.12747,33
SBRJ,Santos Dumont Airport,-43.16282,-22.910397,11
SBRP,Leite Lopes Airport,-47.774053,-21.134314,1805
SBRR,Barreirinhas National Airport,-42.803187,-2.756644,40
SBSC,Santa Cruz Air Force Base,-43.719101,-22.9324,10
SBSG,Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport,-35.36661,-5.769822,273
SBSI,Presidente João Batista Figueiredo Airport,-55.586109,-11.885001,1227
SBSJ,Professor Urbano Ernesto Stumpf Airport,-45.8615,-23.2292,2120
SBSL,Marechal Cunha Machado International Airport,-44.235008,-2.586386,178
SBSM,Santa Maria Airport,-53.688202,-29.711399,287
SBSN,Santarém - Maestro Wilson Fonseca International Airport,-54.79306,-2.422423,198
SBSO,Adolino Bedin Regional Airport,-55.672341,-12.479177,1266
SBSP,Congonhas–Deputado Freitas Nobre Airport,-46.654601,-23.627657,2631
SBSR,Prof. Eribelto Manoel Reino State Airport,-49.406963,-20.817113,1784
SBST,Santos Nero Moura Air Base / Guarujá Airport,-46.300195,-23.928192,13
SBSV,Deputado Luiz Eduardo Magalhães International Airport,-38.322498,-12.908611,64
SBTA,Base de Aviação de Taubaté,-45.51615,-23.0401,1902
SBTB,Trombetas Airport,-56.396801,-1.4896,167
SBTC,Una-Comandatuba Airport,-38.998729,-15.354358,23
SBTD,Toledo - Luiz Dalcanale Filho Municipal Airport,-53.697498,-24.6863,1843
SBTE,Senador Petrônio Portela Airport,-42.823712,-5.06025,219
SBTF,Tefé Airport,-64.724098,-3.38294,186
SBTG,Plínio Alarcom Airport,-51.682026,-20.752643,1063
SBTK,Tarauacá Airport,-70.782985,-8.155534,646
SBTL,Telêmaco Borba Airport,-50.6516,-24.317801,2610
SBTR,Torres Airport,-49.810001,-29.4149,30
SBTS,Tiriós Airport,-55.944711,2.224537,1127
SBTT,Tabatinga International Airport,-69.935799,-4.25567,263
SBTU,Tucuruí Airport,-49.720299,-3.78601,830
SBTV,Terravista Airport,-39.10811,-16.541416,164
SBUA,São Gabriel da Cachoeira Airport,-66.9855,-0.14835,249
SBUF,Paulo Afonso Airport,-38.250599,-9.40088,883
SBUG,Rubem Berta Airport,-57.0382,-29.7822,256
SBUL,Ten. Cel. Aviador César Bombonato Airport,-48.225936,-18.883579,3094
SBUR,Mário de Almeida Franco Airport,-47.964805,-19.765036,2655
SBUY,Urucu Airport,-65.355421,-4.884263,210
SBVG,Major Brigadeiro Trompowsky Airport,-45.474116,-21.591375,3025
SBVH,Brigadeiro Camarão Airport,-60.098301,-12.6944,2018
SBVT,Eurico de Aguiar Salles International Airport,-40.285,-20.258,34
SBYA,Iauaretê Airport,-69.179992,0.610384,466
SBYS,Campo Fontenelle,-47.341207,-21.984692,1968
SBZM,Presidente Itamar Franco Airport,-43.173069,-21.513086,1348
SDAA,Araras Airport,-47.357898,-22.338227,2247
SDAC,Aché Heliport,-46.522154,-23.474943,2444
SDAD,Everaldo Moras Barreto Airport,-51.097509,-21.696275,1394
SDAE,São Pedro Airport,-47.896111,-22.583127,1858
SDAF,Fazenda Palmeiras Airport,-47.719299,-22.1567,2802
SDAG,Angra dos Reis Airport,-44.307098,-22.9753,10
SDAH,Signo Resgate Alphaville Heliport,-46.8483,-23.493536,2585
SDAI,Americana Airport,-47.269408,-22.755917,2085
SDAJ,Fazenda Recanto Airport,-54.063315,-22.591303,1253
SDAK,Solar das Paineiras Heliport,-46.8556,-22.2965,2427
SDAM,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,-47.107573,-22.859866,2008
SDAN,Fazenda Santo Ângelo Airport,-48.259931,-22.245274,1680
SDAO,Fazenda Portela Airport,-56.543219,-14.025612,1522
SDAP,Hospital Paulistano Helipad,-46.642225,-23.56528,2798
SDAS,Fazenda Santo Antônio Airport,-51.283088,-21.276203,1141
SDAT,Hospital e Maternidade Vitória Helipad,-46.561786,-23.56323,2602
SDAU,Fazenda Itau Airport,-52.6214,-19.4685,1516
SDAW,Banco Industrial Heliport,-46.68543,-23.591903,2461
SDAX,Bradesco - Sta Cecília Heliport,-46.649323,-23.539454,2549
SDBA,Batatais Airport,-47.585757,-20.877218,2890
SDBB,Bebedouro Airport,-48.473547,-20.900252,1942
SDBC,Bradesco Alphaville Heliport,-46.857773,-23.487479,2546
SDBE,Biopalma Airport,-48.8146,-2.208,52
SDBF,Porto Seguro Heliport,-46.64541,-23.530323,2575
SDBG,Barra Green Heliport,-43.347282,-23.006633,13
SDBH,Bandeirantes Heliport,-46.710718,-23.595202,2641
SDBI,Fazenda Piray Airport,-55.055907,-23.885222,1161
SDBK,Botucatu - Tancredo de Almeida Neves Airport,-48.468161,-22.937765,3012
SDBL,BFC Heliport,-46.654054,-23.562178,2923
SDBM,Hospital Beneficência Portuguesa Heliport,-46.641469,-23.567798,2782
SDBN,Associação Recreativa Fazenda Bonanza Airport,-47.557561,-23.687623,2316
SDBO,Morada Nova Heliport,-44.372855,-19.466255,2421
SDBP,Fazenda Pontal Airport,-51.116102,-15.736869,1351
SDBQ,Hospital São Mateus Helipad,-38.480081,-3.741723,413
SDBV,Balneário São Januário Airport,-47.7625,-24.869,26
SDBW,Banespa República Heliport,-46.644634,-23.54356,2676
SDBY,Bariri - Aparecido O. Silva Airport,-48.706402,-22.069201,1594
SDCA,Capão Bonito Airport,-48.356246,-24.034346,2402
SDCD,Catanduva Airport,-48.988701,-21.1492,1841
SDCG,Senadora Eunice Micheles Airport,-68.921056,-3.46907,335
SDCJ,Fazenda São Domingos Airstrip,-53.584238,-17.689156,1810
SDCL,Fazenda Campo Alegre Airport,-49.208889,-23.154167,2182
SDCM,Sete Povos Airport,-46.163263,-12.863937,2957
SDCN,Centro Médico Naval Marcílio Dias Heliport,-43.283499,-22.913248,409
SDCO,Sorocaba Airport,-47.490002,-23.478001,2083
