icao,name,longitude,latitude,elevation
SDKD,Condomínio América Business Park Heliport,-46.703119,-23.6186,2510
SDKG,Fazenda Gávea Airport,-49.179169,-23.225,2031
SDKI,CL Helipad,-45.906875,-23.225061,1998
SDKJ,Formosa do Rio Preto Airport,-45.186699,-11.0216,1732
SDKK,Mococa Airport,-47.034123,-21.487802,2116
SDKL,Caracaranã Airport,-59.777179,3.835853,2116
SDKM,Hotel Emiliano Helistop,-46.665236,-23.566041,2707
SDKO,Fazenda Campo Grande Airport,-48.788601,-20.2577,1830
SDKP,Fazenda Jamaica Airport,-50.274373,-22.188569,1598
SDKQ,Fazenda São João Airport,-49.051117,-20.190423,1673
SDKT,Edifício Dacon Heliport,-46.684216,-23.58057,2703
SDKV,Rede Globo Heliport,-46.696819,-23.6148,2384
SDKW,Fazenda Sodema Airport,-55.538442,-12.296355,1181
SDKX,Fazenda Agrovás Airport,-52.411426,-11.513307,1070
SDKY,Hospital das Clínicas Heliport,-46.668929,-23.558219,2759
SDKZ,Caraparu 4 Airport,-60.470043,4.557947,784
SDLA,Condomínio Laranjeiras Heliport,-44.663127,-23.343131,10
SDLB,Metropolitan Office Helipad,-46.682718,-23.581194,2654
SDLC,Aeroclube de Lucélia - Cmte João Possibom Airport,-51.017632,-21.748877,1460
SDLD,Fazenda São Miguel Heliport,-48.642858,-24.198151,2894
SDLE,Rio de Contas Airport,-41.791037,-13.583044,3576
SDLF,SBT Heliport,-46.777893,-23.476689,2641
SDLI,Jeová Gomes Corrêa Airport,-39.115398,-8.73699,1066
SDLK,Caculé Airport,-42.264702,-14.4812,2064
SDLL,Yolanda Penteado Airport,-47.380834,-22.225963,2057
SDLO,Fábio Perini Airport,-38.939999,-13.5648,20
SDLP,José Boso Municipal Airport,-48.774601,-22.5784,2039
SDLU,Fazenda Santa Luíza Airport,-48.524502,-22.483101,1782
SDLW,Fazenda Campo Real Airport,-57.785465,-13.442765,1703
SDLX,Fazenda Jacareúna Airport,-52.200036,-11.441834,1417
SDLY,Armando Natali Airport,-48.351095,-21.623884,2083
SDMA,Fazenda Maristela Airport,-45.603636,-22.954517,1788
SDMB,Benteler Heliport,-47.116891,-23.00179,2156
SDMC,Maricá Airport,-42.830898,-22.9195,5
SDMD,Fazenda Santa Izabel Airport,-54.715714,-18.011274,1109
SDME,Marchesan S.A. Airport,-48.392816,-21.629456,1936
SDMF,Maresias Heliport,-45.572213,-23.786737,36
SDMG,Haxiu Airport,-63.746667,2.675404,394
SDMH,Mirassol Airport,-49.485301,-20.806853,1916
SDMI,Comando do 8º Distrito Naval Heliport,-46.646335,-23.593708,2580
SDMJ,Mogi-mirim Airport,-46.90576,-22.410842,2280
SDMM,Lago Verde Airport,-60.786111,4.557778,1083
SDMO,Monte Alto Airport,-48.523511,-21.258981,2461
SDMP,Erik Heliport,-46.596746,-23.299177,3707
SDMR,Marambaia Airport,-43.879491,-23.066389,16
SDMS,Marechiaro Heliport,-44.280546,-23.015625,177
SDMT,Banco Bradesco Av. Paulista Heliport,-46.654855,-23.561914,2897
SDMU,Multiplan Helipad,-43.175978,-22.907583,351
SDMV,Fazenda Morro Vermelho Airport,-48.60415,-22.275223,1736
SDMW,Fazenda Karajá Airport,-50.680833,-14.1125,833
SDMX,Fazenda Fontana Airport,-55.381261,-15.50233,2283
SDMY,Fazenda Cambuhy Airport,-48.479099,-21.6329,2041
SDMZ,Mercedes Benz do Brasil S/A Heliport,-46.579202,-23.663301,2457
SDNA,Fazenda Vale Verde Airport,-48.994722,-19.671944,2336
SDND,Fazenda Nova Damasco Airport,-51.529044,-22.483974,1411
SDNE,Fazenda São Joaquim Airport,-51.975562,-22.198999,1585
SDNH,Novo Horizonte Airport,-49.234441,-21.497551,1526
SDNI,Nascimento I Airport,-46.983252,-23.619402,3090
SDNJ,Nascimento II Airport,-48.221806,-24.072344,2604
SDNK,Fazenda Vitória Airport,-54.058585,-14.964991,2333
SDNM,Brigadeiro Eduardo Gomes Airport,-56.038591,-13.821021,1411
SDNN,Birmann 21 Helipad,-46.702237,-23.56557,2756
SDNO,São Manuel Airport,-48.576599,-22.695801,2408
SDNP,Condomínio Conde Matarazzo Heliport,-46.6374,-23.547432,2644
SDNQ,Fazenda Água Limpa,-67.491113,-9.980571,646
SDNR,Banco Santander Heliport,-46.713857,-23.652085,2515
SDNT,Fazenda Terra Prometida Airport,-48.256667,-10.414444,889
SDNU,Ministro Nelson Hungria Heliport,-43.172647,-22.906073,223
SDNV,Aldeia Nacepoti Airport,-54.011944,-9.503889,1001
SDNX,SEC Heliport,-44.21046,-23.04298,177
SDOA,Fazenda Lagoa da Floresta Airport,-45.083058,-5.486818,627
SDOB,Fazenda São José O.B. Airport,-46.754299,-21.4252,2634
SDOC,Hospital do Coração Heliport,-46.643565,-23.573127,2835
SDOD,Fazenda Vida Airport,-45.530848,-5.837362,820
SDOE,Fazenda Sibéria Airport,-45.779741,-5.719401,771
SDOF,Enseadinha Heliport,-35.007221,-8.549722,16
SDOG,Península Heliport,-46.2032,-23.997181,203
SDOH,Cimed Heliport,-45.878024,-22.222019,2680
SDOI,Centro Nacional de Pára-quedismo Airport,-47.692448,-23.298338,2051
SDOK,Casas Bahia Heliport,-46.86587,-23.235997,2507
SDOL,Fazenda Agropesp Airport,-56.907682,-12.442313,991
SDON,Ônix Helipad,-46.722272,-23.551563,2634
SDOO,Órion Helipad,-49.269783,-16.696888,3090
SDOP,ESM/Sigma Pharma 2 Helipad,-47.190534,-22.895864,2126
SDOQ,Fazenda Campo Claro Airstrip,-51.739294,-12.674353,1135
SDOR,Fazenda Mosquito Airport,-47.889806,-20.747394,2415
SDOT,Attilio Tinelli Helipad,-46.693559,-23.602453,2559
SDOU,Jornalista Benedito Pimentel Airport,-49.912049,-22.966598,1516
SDOV,Mozarlândia Airport,-50.5642,-14.770575,1076
SDOW,Ourilândia do Norte Airport,-51.04993,-6.762992,751
SDOX,Fazenda Pixoxó Airport,-47.882849,-21.780125,2133
SDOZ,Aldeia Pontal Airport,-58.284104,-8.100681,354
SDPA,Fazenda Portobello Airport,-44.080185,-22.927133,20
SDPB,Pedreira Pau Pedra Heliport,-46.425712,-23.350821,2739
SDPC,Atena Airport,-51.029373,-22.153256,1585
SDPD,Pindamonhangaba Airport,-45.431389,-22.943611,1883
SDPI,Makukem Airport,-60.244722,4.687776,617
SDPK,Panco I Heliport,-46.494951,-23.528066,2628
SDPL,Ibirapuera Park Hotel Helipad,-46.649389,-23.592736,2707
SDPM,Palácio dos Bandeirantes Heliport,-46.713032,-23.600205,2600
SDPN,Penápolis Airport,-50.033659,-21.410012,1352
SDPO,Plaza Centenário Helipad,-46.696088,-23.605605,2826
SDPT,Parque Paulista Heliport,-46.659299,-23.560265,2900
SDPU,Paquetá Heliport,-43.112615,-22.76694,10
SDPV,Presidente Venceslau Airport,-51.884399,-21.893299,1460
SDPW,Piracicaba Airport,-47.618198,-22.7115,1917
SDPX,Nova Vitória Airport,-60.941667,4.498889,1673
SDPY,Pirassununga Airport,-47.421498,-22.027611,2241
SDPZ,Sossego Airport,-53.351389,-21.24112,1292
SDQC,HELPN Quarto COMAR Heliport,-46.612169,-23.566544,2329
SDQD,Copa d'Or Hospital Helipad,-43.1904,-22.965445,187
SDQF,Ita Helipad,-46.828608,-23.701433,2638
SDQG,Fazenda Nova Floresta Airport,-51.178021,-21.892177,1460
SDQI,Fazenda Quilombo Heliport,-47.086712,-23.074091,2323
SDQJ,Disco Heliport,-43.231964,-22.980637,177
SDQK,Fazenda Taboca Airport,-55.366876,-18.883,505
SDQL,Fazenda Cerro Azul Airport,-55.73428,-21.182418,1191
SDQM,Helicentro Ribeirão Preto Heliport,-47.770212,-21.210278,1837
SDQO,Fazenda São Quirino Heliport,-46.845868,-22.917216,2513
SDQP,Parque Cultural Paulista Heliport,-46.645661,-23.571628,2972
SDQQ,Companhia Agrícola de Quatá Airport,-50.639444,-22.285609,1949
SDQR,Alto da Serra Heliport,-49.576918,-28.398591,4570
SDQT,Office Tower Itaim Heliport,-46.679497,-23.581211,2644
SDQU,Fazenda Colorado,-44.794825,-9.255998,2091
SDQV,Fazenda Santa Fé Airport,-58.515394,-16.140032,551
SDQX,Fazenda Esperança Airport,-48.805278,-23.867778,2267
SDQY,Shopping Center Iguatemi Helipad,-47.028358,-22.891308,2356
SDQZ,Fazenda Espinhaço II Airport,-52.074881,-15.397697,991
SDRA,Fazenda das Represas Airport,-48.0518,-23.875601,2271
SDRB,Renaissance Hotel Helipad,-46.66227,-23.558888,3007
SDRC,Fazenda Santana Airport,-50.865319,-22.181663,1608
SDRE,Recreio Heliport,-43.446972,-23.008019,26
SDRF,Fazenda Recanto Feliz Airport,-44.050835,-22.746111,1750
SDRG,Graciosa Heliport,-49.156187,-25.392043,2986
SDRH,Fazenda Chaparral Airport,-54.526141,-20.844538,1509
SDRI,Rio Sul Center Heliport,-43.176162,-22.957333,532
SDRJ,Prefeitura do Rio de Janeiro Heliport,-43.216485,-22.971092,7
SDRK,Rio Claro Airport,-47.562291,-22.430767,1998
SDRM,Olomai Airstrip,-64.184722,3.926666,568
SDRN,Zarzur Helipad,-46.691895,-23.570104,2606
SDRP,Onkiola Airstrip,-64.163275,3.711335,2242
SDRR,Avaré-Arandu Airport,-48.987399,-23.0922,2618
SDRS,Resende Airport,-44.480301,-22.4785,1320
SDRT,Ponto Geral Airport,-60.784857,4.649533,2343
SDRU,Fazenda Caramuru Airport,-50.9359,-21.693334,1273
SDRY,Fazenda São Paulo Airport,-54.841044,-22.953761,1493
SDRZ,Fazenda Marabá Airport,-57.365214,-21.690967,744
SDSA,Fazenda Califórnia Airport,-55.716094,-18.035457,486
SDSC,Mário Pereira Lopes–São Carlos International Airport,-47.903851,-21.875032,2649
SDSD,Samã I Airport,-60.951436,4.411792,554
SDSE,Sítio Santa Helena Airport,-50.619578,-21.472486,1414
SDSM,Fazenda Nossa Senhora da Conceição Airport,-48.542027,-22.758795,2482
SDSN,São Luiz Heliport,-46.686609,-23.590661,2592
SDSQ,Usina Santa Rita Airport,-47.657853,-21.725668,2067
SDSR,Subestação Ibiúna Heliport,-47.103206,-23.659025,2867
SDSS,Fazenda Baia das Pedras Airstrip,-55.783056,-19.254167,420
SDST,Fazenda Santa Terezinha da Barra Airport,-47.775972,-21.881406,2320
SDSU,Pirelli Sumaré Heliport,-47.19222259521485,-22.800556182861328,1557
SDSV,Fazenda Santa Cândida Airport,-48.171099,-21.333695,2080
SDSW,Carta Fabril 01 Heliport,-43.992648,-22.582173,1434
SDSX,ITM Expo Helipad,-46.743984,-23.526045,2444
SDSZ,Banco Safra Helipad,-46.65971,-23.558019,2979
SDTB,Atibaia Airport,-46.57465,-23.128167,2615
SDTC,Edel Trade Center Helipad,-46.660568,-23.602663,2728
SDTE,Fazenda Tapijara Airport,-49.075844,-23.220197,1929
SDTF,Tatuí Airport,-47.8783,-23.3319,2083
SDTG,Edifício Atrium IV Heliport,-46.686546,-23.592936,2608
SDTI,Tupi Paulista Airport,-51.59959,-21.392141,1198
SDTJ,Edifício Atrium V Heliport,-46.684444,-23.595833,2594
SDTK,Paraty Airport,-44.7234,-23.224044,10
SDTM,Crystal Tower Heliport,-46.852739,-23.493318,2838
SDTN,Usina Açucareira Santo Antônio Airport,-47.947913,-21.121212,1969
SDTO,Fazenda Cataco Airport,-49.79484,-21.25517,1358
SDTP,Tupã Airport,-50.505052,-21.889052,1804
SDTQ,Fazenda Santa Thereza Airport,-51.207886,-18.229061,2149
SDTS,Fazenda Planalto Airport,-54.415966,-20.338452,2238
SDTT,Região das Hortências Heliport,-50.853144,-29.361552,2805
SDTU,Itausa Helipad,-46.641921,-23.636332,2774
SDTV,Fazenda São Miguel Airport,-46.23946,-12.607373,2999
SDTX,Fazenda São José Airport,-51.356352,-20.54064,1237
SDTY,Usina São Martinho Airport,-48.114899,-21.3398,1713
SDUB,Ubatuba Gastão Madeira State Airport,-45.075814,-23.441122,10
SDUC,Santa Rita Airport,-60.188598,4.426748,515
SDUD,Usina Santa Adélia Airport,-48.315786,-21.331926,2028
SDUF,Fazenda Touro Peru Airport,-57.495489,-21.071319,492
SDUI,Centro EmpresariaL Iudice Helipad,-46.694625,-23.513621,2500
SDUJ,Milennium Heliport,-46.682743,-23.584809,2575
SDUK,Fazenda Xaimite Airport,-52.9019432068,-14.0966672897,1601
SDUL,Usina Santa Lydia Airport,-47.920555114746094,-21.20166778564453,2270
SDUM,Uniban Heliport,-46.59694290161133,-23.50638961791992,2568
SDUN,Itaperuna Airport,-41.8759002686,-21.219299316399997,410
SDUQ,Paraguaçu Paulista Airport,-50.60689926147461,-22.42690086364746,1525
SDUT,Hotel Transamérica Heliport,-46.7227783203125,-23.650833129882813,2379
SDUU,Usina Califórnia Airport,-50.86833,-21.91111,1476
SDUV,Columbia Heliport,-40.232426,-20.177503,84
SDUW,Fazenda Sertãozinho Heliport,-46.34220123291016,-21.64189910888672,2739
SDUX,Havan Heliport,-48.9075,-27.1069444444,253
SDUY,Rio Alpha Heliport,-43.18139,-22.91722,495
SDUZ,Usina São Luiz Airport,-49.764333,-22.947486,1608
SDVA,Fazenda Campo Vitória Airport,-46.9555549621582,-21.83222198486328,2329
SDVB,INA Brasil Heliport,-47.41416549682617,-23.43777847290039,2072
SDVC,Cometa Vila Maria Heliport,-46.579167,-23.517221,2418
SDVD,Vila Real Heliport,-43.148612,-22.410936,2257
SDVE,Vera Cruz Airport,-49.81719970703125,-22.230199813842773,2100
SDVF,Santo Antônio do Pão Airport,-60.181388,4.589723,653
SDVG,Domingos Pignatari Airport,-50.003134,-20.458426,1676
SDVH,Fazenda Vale Eldorado - Dr José de Aguiar Leme Airport,-46.636913,-23.0054,2727
SDVI,Comandante Gastão Airport,-57.5,-14.65,1391
SDVJ,Fazenda Santa Marta Airport,-50.455,-8.7225,807
SDVP,São Luiz Cotingo Airport,-60.493611,4.333889,197
SDVQ,Fazenda Baía das Conchas Airport,-57.639327,-21.19603,364
SDVS,Fazenda Vassoural Airport,-48.03419876098633,-21.072799682617188,1801
SDVT,Helbor Tower Heliport,-46.196448,-23.523661,2612
SDVV,Cragea-Suzano Heliport,-46.322222,-23.641944,2523
SDVW,Volkswagem do Brasil - Fábrica III Heliport,-45.633888244628906,-23.060556411743164,1873
SDWA,Aerogalo Heliport,-44.19357,-23.04182,60
SDWB,Cyk Heliport,-46.651668548583984,-23.56611061096191,2986
SDWC,Aldeia Baú Airport,-54.826347,-7.35579,797
SDWH,Fazenda Avanhandava Airport,-49.93610000610352,-21.188600540161133,1444
SDWI,Fazenda Lagoa do Cavalo Airport,-35.63,-8.17,1709
SDWK,Junqueira Airport,-47.76750183105469,-20.00166702270508,1850
SDWL,Três Marias Airport,-47.0750007629,-23.191667556799995,2566
SDWN,Fazenda Barreiro Grande Airport,-48.772499084472656,-20.34749984741211,1857
SDWO,Sauba Airstrip,-62.579077,3.862133,818
SDWS,West Gate Heliport,-46.848781,-23.503225,2694
SDWT,World Trade Center Heliport,-46.6966667175293,-23.60944366455078,2657
SDWU,Fazenda Anahí Airport,-57.7405548096,-21.708332061799997,279
SDWV,Chácara Maringá Airport,-51.953758,-2.572744,98
SDWX,Pista Sol Nascente,-56.418924,-6.156449,541
SDWZ,Palo Verde Airport,-50.562228,-21.190584,1276
SDXA,SAWI Airstrip,-60.004514,4.211866,361
SDXD,IBM Tutóia Heliport,-46.649376,-23.579962,2786
SDXE,Chácara Serradinho Airport,-48.35609817504883,-21.264799118041992,2037
SDXF,Alto Paraíso Airport,-47.53089904785156,-14.121000289916992,4413
SDXH,Gandini Heliport,-47.326833,-23.251475,2812
SDXJ,Costa Rica Airport,-53.168135,-18.491283,2428
SDXK,Ticoça Airport,-60.116667,4.413334,486
SDXN,Parada Havan Heliport,-48.700677,-26.634535,53
SDXP,Guararema Parque Hotel Heliport,-46.02027893066406,-23.42388916015625,2034
SDXR,Fazenda Vaca Mocha Airport,-57.158207,-22.2216,433
SDXS,Mar Gírios Heliport,-46.705833435058594,-23.594167709350582,2592
SDXV,Magazine Luiza Heliport,-46.99222183227539,-23.11722183227539,2362
SDXW,Fazenda Sombra da Serra Airport,-55.133827,-18.996412,NA
SDXX,Fazenda Santa Vitória Heliport,-44.750831604003906,-22.509443283081055,1755
SDYA,Carmo Couri Heliport,-46.685279846191406,-23.59666633605957,2585
SDYB,Fazenda São José do Barreiro Airport,-48.338362,-23.784526,2192
SDYC,Amarras Heliport,-41.90166854859999,-22.7747211456,125
SDYD,Senna Heliport,-44.19641,-23.0399,16
SDYE,Hotal Fazenda Dona Carolina Heliport,-46.701277,-22.941489,2625
SDYF,Fazenda Irmãos Munaretto Airport,-55.992991,-13.109637,1375
SDYH,José Roberto Magalhães Teixeira Heliport,-47.08277893066406,-22.92916679382324,2297
SDYI,Fazenda Buritiz Airport,-45.40250015258789,-17.917499542236328,3045
SDYJ,José Martins da Silva Airport,-51.348806,-22.226225,1663
SDYK,Tower 2000 Heliport,-43.11805725097656,-22.892221450805664,187
SDYL,Flamingos Heliport,-44.290109,-23.02296,131
SDYN,Fazenda Esmeralda Airport,-51.304197,-22.584782,1365
SDYO,Hospital Santa Marcelina Heliport,-46.461387634277344,-23.55416679382324,2684
SDYP,Piracaia Heliport,-46.334442138671875,-22.98611068725586,2887
SDYR,Panco II Heliport,-46.699898,-23.599671,2641
SDYS,Aeroportobelo Airport,-48.631111,-27.173611,36
SDYT,Tucuxim Airport,-63.986944,3.763889,1475
SDYU,Pericó Vinícola Heliport,-49.922501,-28.299062,4505
SDYV,Secovi Heliport,-46.648203,-23.603723,2625
SDYW,Aeroclube de Itapeva Airport,-48.881775,-23.941345,2313
SDYX,Campo Maior Airport,-42.260555267333984,-4.8541669845581055,490
SDYZ,Kuka Helipad,-46.601386,-23.569189,2447
SDZB,ICS - Guarujá Heliport,-46.28444290161133,-23.98555564880371,5
SDZC,Uxiu Airstrip,-62.668889,2.708055,831
SDZD,ABB Sorocaba Heliport,-47.361916,-23.425252,1939
SDZF,Fazenda Lamarão Airport,-47.467459,-15.98442,2945
SDZG,Pedro Teixeira Castelo Airport,-40.2975,-5.9334,1457
SDZH,Fazenda Santa Helena Airport,-45.493056,-22.890556,1785
SDZJ,Fly Green Heliport,-43.831043,-15.28387,1634
SDZK,Waphuta Airstrip,-63.709722,2.991667,682
SDZL,Fazenda Campo Zélia Airport,-55.689011,-18.610784,495
SDZM,Fazenda São Marcos Airport,-48.818298,-23.9224,2257
SDZN,Warogarem Airstrip,-60.219015,4.804871,2331
SDZO,Waromada Airstrip,-60.443718,4.576131,2331
SDZP,Ninho do Pássaro III Helipad.,-49.243225,-26.885369,236
SDZQ,Zen Tower Helipad,-48.657192,-26.905079,299
SDZR,Fazenda Cruzeiro Airport,-48.315911,-21.406152,2116
SDZU,Fazenda Anhumas Airport,-52.19793,-22.121936,1001
SDZX,Fazenda Suri Airport,-53.124617,-14.813348,1250
SDZZ,Sítio São José Airport,-48.544439,-21.798767,1788
SIAD,Estância Regina Airport,-57.353032,-21.010744,394
SIAE,BASF Guaratinguetá Heliport,-45.170825,-22.786123,1772
SIAF,Fazenda São José Airport,-58.885555,-13.741112,1903
SIAK,Volkswagen Heliport,-46.54985,-23.729557,2533
SIAM,Fazenda Palmital Airport,-48.286419,-20.697327,1709
SIAN,Santa Casa de Misericórdia de Porto Alegre Helipad,-51.220483,-30.030145,184
SIAP,Roso Airport,-54.089186,-31.73442,541
SIAQ,Bom Futuro Airport,-56.098333,-15.506389,768
SIAV,Helicentro Helipark,-46.830227,-23.564818,2592
SIAW,Sítio Gurupi Airport,-47.516389,-3.739167,420
SIBB,Edifício Comendador Alberto Bonfiglioli Helipad,-46.652147,-23.564447,2936
SIBC,Vila de Tocos Airport,-41.294775,-21.878126,26
SIBE,Marina Park Heliport,-38.53181,-3.719069,16
SIBG,Banco Induscred Helipad,-46.65581,-23.564443,2877
SIBH,Helicidade Helipad,-46.737117,-23.546808,2418
SIBI,GF Taxi Aéreo Heliport,-46.289102,-24.002906,20
SIBL,Clínica Porto Dias Heliport,-48.458613,-1.437548,167
SIBM,Hanger ABC Heliport,-46.580575,-23.61706,2421
SIBO,Sítio São Luiz Airport,-52.794753,-24.261562,1919
SIBS,Terminal Petrobras - São Sebastião Heliport,-45.400049,-23.798586,7
SIBT,Transportadora Americana II Heliport,-47.286208,-22.732279,2004
SIBU,Jerônimo Sérgio Rosado Maia Airport,-37.756199,-6.36253,892
SIBV,Fazenda Bela Vista Airport,-54.489515,-21.450333,1211
SIBW,Conceição Airport,-38.496498,-7.55823,1214
SIBX,WEM Agropecuária Airport,-50.24378,-21.091756,1345
SIBY,Lourival Nunes de Farias Airport,-37.139999,-7.87824,2041
SIBZ,Itaporanga Airport,-38.112701,-7.31166,957
SICC,Fazenda Campo Alto Heliport,-47.284389,-22.388897,2067
SICD,Mima 2 Heliport,-41.446268,-21.578516,131
SICG,Rede TV Helipad,-46.762957,-23.520831,2379
SICJ,Gaivota Aviação Agrícola Airport,-58.778328,-13.462628,1837
SICK,Dr. Jucelino José Ribeiro Airport,-42.52943,-17.680607,3481
SICL,Praia da Piraquara Heliport,-44.438835,-22.985219,148
SICM,Fazenda Nossa Senhora de Fátima Airport,-52.111745,-21.539444,984
SICN,Fazenda Vista Bonita Airport,-51.816696,-22.506518,1348
SICO,Aviação Estrela Bôscoli Airport,-56.049893,-13.325756,1411
SICP,Associação Aeroclube de Faxinal Airport,-51.327891,-23.972223,2779
SICQ,Fazenda Luar Airport,-55.690899,-15.554542,768
SICS,Base Resgate Heliport,-47.906113,-15.775001,3609
SICT,Elektro Heliport,-47.106392,-22.996694,2041
SICV,Porto Marina Asturias Heliport,-46.293569,-24.000583,7
SICW,Fazenda Santa Fé Airport,-47.825008,-17.453632,3094
SICX,Edifício Salvador Trade Center Heliport,-38.453608,-12.983928,348
SICY,Fazenda do Cedro Airport,-53.196388,-28.108334,2143
SICZ,Edifício Comercial Lorena Helipad,-46.655443,-23.573334,2644
SIDA,Edifício Dakota Helipad,-46.683674,-23.594393,2546
SIDB,Doutor Almir Lopes de Oliveira Melo Airport,-42.999634,-4.271026,168
SIDE,Federal Police Helipad,-46.70437,-23.511391,2438
SIDI,Fazenda Cachoeira Heliport,-43.630353,-19.829464,3583
SIDJ,Fazenda Arpa Airport,-50.513596,-8.948639,807
SIDL,Deus é Amor Helipad,-46.624893,-23.555766,2474
SIDM,Fazenda Cibrapa Airport,-52.099529,-15.036799,919
SIDQ,Das Quaresmas Heliport,-44.29111,-23.016471,358
SIDR,Retiro Piúva Airport,-56.703293,-19.837257,328
SIDT,Edise Heliport,-43.179365,-22.909493,404
SIDV,Rancho Cajuru Heliport,-44.770421,-20.25331,2510
SIDW,Fazenda Cortezia Airport,-56.087606,-13.004636,1355
SIDX,Polícia Federal - Florianópolis Heliport,-48.531638,-27.572937,98
SIDY,Fazenda Yanduy Airport,-51.819447,-24.07771,1483
SIEA,Fazenda Ibiporã Airport,-50.79856,-21.466359,1181
SIED,Colonial Airport,-43.402595,-15.450541,1621
SIEF,Fazenda São José Airport,-54.716721,-20.572287,1722
SIEH,Lazzuli Heliport,-34.871188,-8.033757,69
SIEJ,Monte Verde Airport,-57.485956,-9.942937,1083
SIEL,Fazenda Várzea Funda Airport,-57.727698,-16.589899,659
SIEP,Riachuelo - Matriz Helipadt,-46.646276,-23.501068,2595
SIEQ,Fazenda Táua Airport,-56.573196,-13.306521,1099
SIER,Cosan Heliport,-47.686898,-22.632926,1667
SIES,Ciclade Heliport,-45.633259,-23.768939,20
SIEU,Diamante Heliport,-48.69308,-22.373442,1444
SIEV,Fazenda Boca da Onça Airport,-56.706834,-20.767219,1050
SIEW,Areia Branca Airstrip,-61.050532,-7.98806,279
SIEX,Fazenda São Joaquim I Airport,-50.431983,-19.010015,1450
SIEY,Palácio das Mangabeiras Heliport,-43.912665,-19.953755,3825
SIFA,Fazenda Sete Airport,-56.476336,-19.791055,328
SIFB,Sítio Canhanheiro Heliport,-44.685366,-23.22358,7
SIFG,Life Center Helipad,-43.924442,-19.935278,3287
SIFI,Amazonas Business Hotel Heliport,-60.02088,-3.093079,328
SIFK,Hospital Santa Tereza Helipad,-43.193822,-22.508082,2752
SIFP,EPCCO Heliport,-47.850641,-24.524704,115
SIFQ,Condomínio Menega Airport,-51.143836,-29.044699,2566
SIFT,Fazenda Travessão Airport,-60.12017,-16.144278,906
SIFU,Fazenda Ribeirão Airport,-43.774735,-22.415472,1319
SIFV,Primo Bitti Airport,-40.102168,-19.825829,85
SIFW,Fazenda São Lourenço Airport,-56.996706,-17.719113,400
SIFY,Fazenda Yndiana Airport,-57.496389,-21.777778,530
SIFZ,Hungria 1100 Heliport,-46.69435,-23.577813,2514
SIGB,Morma II Heliport,-48.625692,-28.042989,171
SIGC,Porto Cubatão Heliport,-47.945434,-24.975702,23
SIGE,Lagoa do Cavalo Heliport,-35.638233,-8.172905,1722
SIGI,Gabinete Militar Heliport,-49.255995,-16.681998,2523
SIGJ,Hospital Central da Aeronáutica Helipad,-43.211594,-22.920117,103
SIGK,CD Guarulhos Helipad,-46.444563,-23.446839,2648
SIGN,Asa Delta Airport,-53.233612060546875,-15.571389198303224,1585
SIGO,Fazenda Araguari Airport,-53.957779,-13.336665,2126
SIGP,Rio - Bravo Helipad,-43.181956,-22.909286,495
SIGQ,Aeroclube CSN - Companhia Siderúrgica Nacional Heliport,-44.081687,-22.499642,1234
SIGS,Fazenda Granja Santiago Airport,-46.66,-17.162222,1946
SIGT,Fazenda Goiabeira Airport,-49.179169,-23.989445,2260
SIGU,Fazenda San Jose I Airport,-53.827834,-19.815147,2116
SIGV,Rede Record Helipad,-46.66253,-23.523759,2412
SIGX,Fazenda Gairova Airport,-58.235682,-11.198073,1083
SIGY,Fazenda Progresso Airport,-44.198505,-7.502616,1476
SIGZ,Represa Helipad,-46.698911,-23.617111,2835
SIHB,Fazenda Soberana Airport,-46.0625,-5.455833,417
SIHC,Cel PM Cícero Dantas dos Santos Heliport,-40.312475,-20.293511,62
SIHD,Divena Helipad,-46.622382,-23.598422,2473
SIHI,Fazenda Itaipavas Airport,-48.995762,-6.620254,633
SIHJ,Sítio Flyer Airport,-48.326389,-10.108056,958
SIHK,Hospital Santa Catarina Heliport,-46.645632,-23.569052,2864
SIHL,Rio Centro Heliport,-43.409434,-22.97978,33
SIHM,Dragão do Ar Heliport,-38.434242,-3.81095,33
SIHO,Kia Helipad,-47.290939,-23.284104,2080
SIHQ,Águas Claras Official Residence Heliport I,-48.02886,-15.829291,3757
SIHS,Edifício Faria Lima Premium Heliport,-46.59222030639648,-23.77305603027344,2700
SIHT,Tanguá Heliport,-44.353148,-23.00213,222
SIHW,Agrishow Airport,-47.865781,-21.211237,1952
SIHX,Hospital da Bahia Heliport,-38.450872,-12.987727,105
SIHZ,Nannai Resort e Spa Heliport,-34.98137,-8.431876,9
SIIA,Fazenda Paraná Airport,-58.218056,-11.7,653
SIIB,Suiço Heliport,-46.606388,-23.379999,3189
SIIC,Caragoatá Heliport,-44.595978,-23.243658,66
SIID,Crepurizão Airport,-56.841396,-6.819947,623
SIIE,Fazenda Cachoeira Branca Airport,-53.406103,-20.891107,1063
SIIG,Eliza Camargo de Arruda Botelho Airport,-51.101661,-22.359959,1756
SIIH,Torre 2000 Heliport,-46.686423,-23.566623,2730
SIII,Doutor Heráclito da Motta Luiz Airport,-48.225367,-20.433126,1798
SIIJ,São Geraldo Airport,-56.568099,-21.260487,1099
SIIK,Fazenda Santa Lídia Airport,-53.687986,-20.721889,1371
SIIM,Fazenda Giruá Airport,-54.851448,-18.803423,1394
SIIN,Independência Airport,-56.699019,-7.594391,1040
SIIO,Itaorna Heliport,-44.465758,-23.005142,157
